epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,148.003,0.32953,0.22709,0.8549,0.9978,1,0.995,0.96036,0.29212,0.17706,0.81669,0.000793486,0.000793486,0.000793486
117,149.264,0.32778,0.23165,0.85089,0.99828,1,0.995,0.95921,0.28901,0.19199,0.8152,0.00078796,0.00078796,0.00078796
118,150.626,0.33275,0.22691,0.85996,0.99817,1,0.995,0.96065,0.30593,0.18973,0.82331,0.000782433,0.000782433,0.000782433
119,151.886,0.31533,0.22332,0.84989,0.99796,1,0.995,0.95729,0.29384,0.17632,0.82821,0.000776907,0.000776907,0.000776907
120,153.128,0.30892,0.21956,0.84203,0.99854,1,0.995,0.95667,0.30485,0.18535,0.82698,0.000771381,0.000771381,0.000771381
121,154.356,0.31099,0.22288,0.84397,0.99754,1,0.995,0.95956,0.29252,0.1719,0.81943,0.000765855,0.000765855,0.000765855
122,155.601,0.29793,0.21592,0.8367,0.99796,1,0.995,0.95649,0.30419,0.18325,0.82835,0.000760328,0.000760328,0.000760328
123,156.841,0.31283,0.22555,0.85247,0.99858,1,0.995,0.96312,0.28959,0.18009,0.8193,0.000754802,0.000754802,0.000754802
124,158.09,0.32358,0.22439,0.84994,0.99877,1,0.995,0.96495,0.29087,0.17294,0.82028,0.000749276,0.000749276,0.000749276
125,159.328,0.32398,0.21666,0.85704,0.99843,1,0.995,0.95783,0.29584,0.16657,0.82464,0.00074375,0.00074375,0.00074375
126,160.565,0.32252,0.21717,0.85097,0.99808,1,0.995,0.95438,0.30758,0.16983,0.83145,0.000738224,0.000738224,0.000738224
127,161.793,0.32143,0.21823,0.85525,0.99829,1,0.995,0.95642,0.32101,0.16772,0.82956,0.000732697,0.000732697,0.000732697
128,163.141,0.32614,0.21917,0.86145,0.99815,1,0.995,0.9502,0.30867,0.16515,0.83091,0.000727171,0.000727171,0.000727171
129,164.377,0.32669,0.22215,0.85869,0.99769,1,0.995,0.95392,0.31628,0.17551,0.83087,0.000721645,0.000721645,0.000721645
130,165.629,0.31209,0.2191,0.85044,0.99819,1,0.995,0.95667,0.30647,0.17306,0.82468,0.000716119,0.000716119,0.000716119
131,166.859,0.32159,0.21796,0.85303,0.99401,0.99927,0.995,0.95587,0.32359,0.187,0.83011,0.000710593,0.000710593,0.000710593
132,168.11,0.32809,0.2229,0.85179,0.99836,1,0.995,0.9504,0.34217,0.17817,0.83314,0.000705066,0.000705066,0.000705066
133,169.357,0.32813,0.21731,0.85833,0.99808,1,0.995,0.95087,0.32076,0.18392,0.8329,0.00069954,0.00069954,0.00069954
134,170.607,0.3174,0.21975,0.84959,0.99814,1,0.995,0.95945,0.29274,0.17238,0.82428,0.000694014,0.000694014,0.000694014
135,171.85,0.31347,0.21497,0.84446,0.99826,1,0.995,0.95994,0.28822,0.16593,0.82377,0.000688488,0.000688488,0.000688488
136,173.126,0.30288,0.20838,0.83548,0.99849,1,0.995,0.96244,0.27695,0.15666,0.81493,0.000682962,0.000682962,0.000682962
137,174.38,0.31671,0.2135,0.84471,0.99848,1,0.995,0.96421,0.29559,0.1679,0.82019,0.000677435,0.000677435,0.000677435
138,175.684,0.32292,0.21592,0.8509,0.99818,1,0.995,0.96337,0.28788,0.16258,0.81619,0.000671909,0.000671909,0.000671909
139,177.098,0.29502,0.2059,0.83959,0.99834,1,0.995,0.96212,0.27743,0.1648,0.8182,0.000666383,0.000666383,0.000666383
140,178.363,0.31358,0.21469,0.84729,0.99818,1,0.995,0.96192,0.28605,0.16819,0.8221,0.000660857,0.000660857,0.000660857
141,179.625,0.3181,0.21606,0.84793,0.99824,1,0.995,0.96086,0.29495,0.17599,0.82133,0.00065533,0.00065533,0.00065533
142,180.9,0.32298,0.21876,0.84762,0.9981,1,0.995,0.96233,0.28525,0.17452,0.81715,0.000649804,0.000649804,0.000649804
143,182.156,0.30867,0.21,0.84312,0.99789,1,0.995,0.95851,0.31058,0.17023,0.82535,0.000644278,0.000644278,0.000644278
144,183.411,0.31835,0.21569,0.84936,0.99782,1,0.995,0.96247,0.30315,0.17333,0.82398,0.000638752,0.000638752,0.000638752
145,184.678,0.29975,0.2096,0.84601,0.99784,1,0.995,0.96507,0.29269,0.16794,0.82086,0.000633226,0.000633226,0.000633226
146,185.927,0.31121,0.20908,0.84592,0.99861,1,0.995,0.96282,0.29343,0.16042,0.82512,0.000627699,0.000627699,0.000627699
147,187.209,0.30386,0.21288,0.85238,0.99889,1,0.995,0.96108,0.3114,0.16863,0.8263,0.000622173,0.000622173,0.000622173
148,188.507,0.31253,0.21464,0.85131,0.99874,1,0.995,0.95598,0.31315,0.17425,0.8207,0.000616647,0.000616647,0.000616647
149,189.746,0.31424,0.21719,0.8485,0.99841,1,0.995,0.96469,0.29322,0.17044,0.8214,0.000611121,0.000611121,0.000611121
150,191.097,0.31463,0.21591,0.85641,0.99822,1,0.995,0.95748,0.29615,0.16443,0.82393,0.000605595,0.000605595,0.000605595
151,192.324,0.30094,0.20884,0.84445,0.99799,1,0.995,0.95695,0.30454,0.16678,0.82696,0.000600068,0.000600068,0.000600068
152,193.56,0.29645,0.20656,0.84358,0.99787,1,0.995,0.95868,0.29573,0.16584,0.82376,0.000594542,0.000594542,0.000594542
153,194.794,0.31732,0.21159,0.85322,0.9984,1,0.995,0.95969,0.28863,0.16906,0.81999,0.000589016,0.000589016,0.000589016
154,196.031,0.31016,0.21091,0.85086,0.99805,1,0.995,0.9598,0.29337,0.17399,0.82056,0.00058349,0.00058349,0.00058349
155,197.32,0.30642,0.2118,0.84841,0.99815,1,0.995,0.96014,0.29242,0.16292,0.82361,0.000577964,0.000577964,0.000577964
156,198.593,0.2932,0.20271,0.84368,0.99765,1,0.995,0.95886,0.30553,0.16511,0.82402,0.000572437,0.000572437,0.000572437
157,199.862,0.29075,0.20405,0.83994,0.99741,1,0.995,0.95547,0.35146,0.17641,0.83986,0.000566911,0.000566911,0.000566911
158,201.122,0.30846,0.20307,0.85654,0.99824,1,0.995,0.96215,0.32407,0.16287,0.82848,0.000561385,0.000561385,0.000561385
159,202.398,0.29579,0.20139,0.8477,0.99813,1,0.995,0.95568,0.30366,0.16364,0.8216,0.000555859,0.000555859,0.000555859
160,203.746,0.30183,0.20719,0.84542,0.99743,1,0.995,0.95657,0.33311,0.17029,0.83675,0.000550332,0.000550332,0.000550332
161,204.986,0.28093,0.19896,0.8404,0.99786,1,0.995,0.95907,0.35047,0.17036,0.84244,0.000544806,0.000544806,0.000544806
162,206.226,0.29506,0.20194,0.84057,0.99802,1,0.995,0.95785,0.32426,0.16528,0.82917,0.00053928,0.00053928,0.00053928
163,207.451,0.28967,0.20111,0.83635,0.998,1,0.995,0.96081,0.29578,0.15797,0.82219,0.000533754,0.000533754,0.000533754
164,208.694,0.29639,0.20166,0.84021,0.99777,1,0.995,0.96317,0.30104,0.15612,0.82524,0.000528228,0.000528228,0.000528228
165,209.926,0.30586,0.20689,0.84089,0.99803,1,0.995,0.95882,0.31127,0.16105,0.8283,0.000522701,0.000522701,0.000522701
166,211.162,0.29383,0.20251,0.8474,0.99874,1,0.995,0.95723,0.30098,0.16083,0.82245,0.000517175,0.000517175,0.000517175
167,212.422,0.28199,0.20033,0.83901,0.99815,1,0.995,0.95824,0.31111,0.16362,0.82679,0.000511649,0.000511649,0.000511649
168,213.696,0.28775,0.202,0.83367,0.9979,1,0.995,0.96225,0.30108,0.15912,0.8282,0.000506123,0.000506123,0.000506123
169,215.043,0.29363,0.20426,0.83184,0.99813,1,0.995,0.96583,0.30396,0.16303,0.82866,0.000500597,0.000500597,0.000500597
170,216.302,0.28282,0.1984,0.83888,0.99812,1,0.995,0.96025,0.30304,0.1655,0.82895,0.00049507,0.00049507,0.00049507
171,217.554,0.30038,0.20316,0.84132,0.9979,1,0.995,0.96003,0.29419,0.15871,0.82312,0.000489544,0.000489544,0.000489544
172,218.896,0.29772,0.19574,0.84587,0.99778,1,0.995,0.95639,0.32454,0.15959,0.83713,0.000484018,0.000484018,0.000484018
173,220.134,0.30326,0.20358,0.84394,0.99789,1,0.995,0.95691,0.32978,0.16257,0.84322,0.000478492,0.000478492,0.000478492
174,221.381,0.30195,0.19801,0.84472,0.99786,1,0.995,0.9581,0.29421,0.15397,0.82547,0.000472966,0.000472966,0.000472966
175,222.63,0.29098,0.19764,0.84265,0.99811,1,0.995,0.95801,0.2911,0.15288,0.82888,0.000467439,0.000467439,0.000467439
176,223.896,0.3174,0.20435,0.84934,0.99798,1,0.995,0.96117,0.30428,0.16424,0.82997,0.000461913,0.000461913,0.000461913
177,225.212,0.30714,0.20134,0.84121,0.99784,1,0.995,0.9607,0.30996,0.15784,0.8328,0.000456387,0.000456387,0.000456387
178,226.494,0.29733,0.20087,0.83402,0.99781,1,0.995,0.95366,0.32679,0.16007,0.8401,0.000450861,0.000450861,0.000450861
179,227.848,0.30486,0.19869,0.85187,0.99855,1,0.995,0.95607,0.29859,0.15119,0.8291,0.000445334,0.000445334,0.000445334
180,229.088,0.28971,0.19391,0.8385,0.99869,1,0.995,0.95378,0.32196,0.15812,0.83991,0.000439808,0.000439808,0.000439808
181,230.344,0.26647,0.18452,0.83836,0.9985,1,0.995,0.95675,0.31241,0.14768,0.83551,0.000434282,0.000434282,0.000434282
182,231.607,0.28461,0.1897,0.83779,0.99832,1,0.995,0.95915,0.31541,0.15693,0.83457,0.000428756,0.000428756,0.000428756
183,232.831,0.27391,0.19093,0.83902,0.99916,1,0.995,0.95756,0.31053,0.15495,0.83078,0.00042323,0.00042323,0.00042323
184,234.084,0.26828,0.18445,0.83453,0.99883,1,0.995,0.96285,0.29133,0.14996,0.82195,0.000417703,0.000417703,0.000417703
185,235.44,0.28872,0.19211,0.84317,0.9981,1,0.995,0.95767,0.31143,0.16927,0.8232,0.000412177,0.000412177,0.000412177
186,236.682,0.28756,0.19577,0.84311,0.99857,1,0.995,0.95864,0.31292,0.16591,0.82821,0.000406651,0.000406651,0.000406651
187,237.913,0.27551,0.18995,0.83359,0.99867,1,0.995,0.96382,0.28384,0.15657,0.82134,0.000401125,0.000401125,0.000401125
188,239.185,0.29268,0.19616,0.84293,0.99812,1,0.995,0.96721,0.27779,0.14867,0.82129,0.000395599,0.000395599,0.000395599
